amp1,x01,w1,y0
10.0,496.57,17.54,0.01
17.55,500.79,17.8,-0.08
6.19,494.5,15.55,-0.14
3.52,495.64,16.95,-0.07
10.23,492.89,12.78,0.08
14.05,495.23,13.34,0.07
11.97,494.04,13.99,-0.06
18.73,498.06,16.03,0.0
17.96,497.98,16.6,0.08
36.91,494.55,13.66,0.19
40.95,497.5,15.68,0.06
5.33,493.74,16.71,-0.06
13.61,495.05,15.07,0.1
11.69,497.78,16.78,-0.06
7.78,494.54,15.27,-0.01
6.25,492.65,16.84,-0.13
7.96,491.91,16.37,0.03
14.4,494.96,15.51,-0.01
9.43,496.34,17.83,0.0
17.47,499.81,17.53,-0.11
11.95,495.92,16.06,-0.1
4.9,491.2,15.48,0.02
5.61,494.76,17.66,-0.11
8.74,496.25,18.47,-0.09
18.82,496.07,17.32,-0.04
15.43,498.54,18.06,-0.03
8.68,493.99,17.19,-0.12
11.52,494.97,15.86,0.02
16.11,496.09,15.34,-0.07
10.26,497.48,15.35,0.06
3.65,496.54,20.82,-0.11
6.66,492.96,17.34,-0.02
14.5,493.94,15.6,0.02
12.16,494.94,16.83,-0.02
13.15,494.27,15.38,0.02
16.69,493.52,13.99,0.03
23.85,494.55,13.71,-0.04
12.5,492.68,14.55,-0.06
16.94,495.69,14.94,-0.01
18.28,495.22,14.82,-0.01
8.03,496.41,17.39,-0.0
22.16,500.7,16.1,-0.07
24.04,500.77,15.63,-0.07
17.0,496.2,14.52,0.05
14.75,495.4,14.05,-0.1
11.27,494.76,15.72,-0.08
21.32,494.76,13.6,0.05
16.79,492.32,14.0,0.03
5.28,493.28,17.87,-0.05
6.77,500.03,18.45,-0.03
9.67,493.61,15.37,-0.03
14.1,496.35,15.09,-0.03
6.61,496.56,16.01,-0.05
1.33,492.42,21.81,-0.02
2.24,489.76,18.32,0.04
6.82,493.97,15.58,-0.01
16.3,494.87,13.64,0.01
17.13,496.98,15.86,-0.11
12.8,497.13,17.59,-0.06
31.66,495.94,15.19,0.08
46.67,496.77,14.16,0.27
12.27,496.72,15.88,-0.06
13.08,497.39,16.34,-0.03
6.86,492.82,15.61,-0.01
11.86,493.79,15.02,-0.07
10.97,493.36,15.44,-0.04
8.85,492.09,15.0,-0.01
7.8,493.93,16.23,-0.1
10.49,495.22,16.03,-0.08
12.67,496.13,15.9,-0.06
12.01,495.64,14.34,-0.09
5.06,491.85,16.17,0.05
15.85,497.44,16.82,-0.0
21.17,496.23,16.0,0.07
12.53,494.11,15.69,-0.08
5.76,492.96,17.59,-0.08
12.85,492.99,16.0,-0.05
17.44,494.01,15.5,0.04
15.87,498.05,15.54,-0.01
11.07,497.75,14.33,-0.02
9.84,494.41,14.05,-0.01
11.39,492.19,12.43,0.08
9.25,492.54,15.28,-0.23
15.87,495.55,16.09,0.01
10.83,495.39,16.71,-0.07
13.63,495.23,15.79,-0.06
19.05,494.59,14.67,-0.12
16.42,495.31,15.99,-0.05
17.03,497.61,15.74,0.06
21.83,494.51,14.88,0.05
13.3,496.96,16.11,-0.06
25.01,501.23,14.9,0.07
22.07,499.14,15.66,0.17
18.51,492.32,12.76,-0.01
14.69,493.23,13.27,-0.03
15.25,494.24,14.25,-0.05
11.15,493.93,16.23,-0.14
10.48,494.15,16.45,0.01
8.08,496.7,16.71,-0.0
17.14,500.59,16.12,-0.02
9.42,497.86,16.44,-0.04
7.73,494.75,15.08,-0.01
13.14,495.03,12.93,-0.12
6.81,493.55,15.09,0.04
4.2,493.58,16.95,-0.08
6.76,495.03,19.1,-0.16
10.21,497.09,19.01,-0.08
8.44,499.24,19.63,-0.03
7.01,496.17,19.41,-0.1
15.2,498.46,17.51,-0.05
18.02,498.93,17.26,-0.0
20.02,496.36,16.86,-0.01
16.34,494.44,15.15,-0.08
15.95,496.53,15.57,-0.04
13.28,494.86,15.65,-0.04
6.5,490.59,15.24,-0.12
6.35,490.38,16.55,-0.1
19.18,494.79,14.1,0.04
19.08,496.87,16.0,0.02
15.6,496.64,17.08,-0.12
9.99,493.76,16.12,-0.03
5.33,495.51,17.55,-0.07
8.26,495.35,16.99,-0.05
13.38,495.03,14.86,-0.07
19.11,494.79,13.46,0.1
6.51,493.71,14.5,-0.12
11.07,494.4,17.33,0.03
13.15,494.81,15.65,-0.16
16.51,496.5,14.63,0.05
8.54,494.15,15.33,-0.03
17.89,494.14,14.84,-0.06
27.06,494.3,13.13,0.05
22.1,498.89,15.01,0.08
21.39,500.46,16.68,0.08
18.53,496.93,15.86,0.07
26.6,497.95,16.47,0.08
20.51,498.87,16.14,0.04
23.83,494.69,15.13,0.19
15.86,496.37,18.16,0.04
13.47,496.48,18.06,0.01
9.89,494.12,16.09,-0.13
8.15,495.5,17.7,-0.05
9.73,494.41,16.69,0.03
12.49,495.36,16.09,-0.02
17.53,496.66,16.12,0.02
19.55,495.68,15.22,-0.13
11.02,494.12,15.2,-0.05
13.91,496.42,15.77,-0.02
14.8,497.81,16.23,0.04
39.12,499.75,16.16,0.05
17.32,494.92,14.95,0.02
10.64,494.8,14.05,-0.02
10.48,495.54,15.15,-0.02
10.11,495.46,17.09,-0.0
12.48,496.31,16.55,-0.05
12.45,492.32,14.87,0.09
13.53,498.2,19.03,-0.12
15.33,500.74,19.59,0.03
15.08,498.5,17.4,-0.0
16.19,498.63,17.16,0.05
18.41,495.93,15.21,0.08
27.24,498.38,16.88,0.01
19.47,496.83,16.2,-0.05
15.05,499.14,18.32,-0.07
29.64,498.09,16.47,0.09
16.93,498.14,17.09,-0.03
12.77,495.26,15.97,-0.05
25.54,496.25,13.48,0.0
20.73,495.85,14.83,0.03
13.7,493.17,14.24,0.01
5.79,493.8,16.65,-0.02
8.76,499.25,19.41,-0.01
8.31,494.71,17.03,-0.05
13.14,495.1,15.47,-0.02
16.54,495.2,14.03,-0.11
7.8,496.35,17.34,-0.01
9.8,492.87,15.86,-0.09
13.61,493.5,15.02,-0.1
20.85,494.75,13.71,-0.06
8.87,493.42,16.19,0.0
19.68,491.75,14.24,0.14
42.61,494.86,12.63,0.21
30.64,498.12,15.01,0.04
26.84,500.06,17.93,0.03
16.31,497.77,16.84,0.06
16.79,495.99,16.4,-0.03
12.56,496.84,16.91,-0.08
15.59,493.49,14.82,0.03
23.79,495.21,15.12,0.02
17.58,494.82,15.08,0.06
14.52,495.38,16.63,0.01
10.63,497.13,16.81,-0.07
8.62,496.13,17.11,0.01
18.24,495.44,15.53,0.01
31.52,495.24,15.48,0.12
26.9,494.6,15.3,0.09
7.47,493.9,16.07,0.01
12.3,495.6,15.78,-0.04
16.49,495.23,16.31,0.07
25.33,495.47,15.89,-0.03
11.36,493.2,14.36,0.0
10.72,497.74,15.07,0.03
10.67,496.5,17.35,-0.13
15.92,497.28,16.98,-0.02
12.53,493.35,16.33,-0.08
11.87,494.06,16.75,-0.04
16.0,497.76,17.51,-0.06
12.8,496.14,18.49,-0.04
15.88,496.67,17.17,0.12
20.27,496.39,15.24,0.04
16.84,494.63,15.9,0.09
15.13,497.82,17.34,0.03
11.92,494.88,15.79,-0.12
8.87,493.62,16.8,0.0
37.33,500.43,16.13,0.06
31.79,501.46,16.84,-0.09
22.12,494.06,14.45,0.08
23.72,496.24,14.76,0.03
17.56,495.73,15.48,-0.07
8.35,497.56,17.96,-0.07
4.07,492.69,16.33,0.05
16.1,493.82,13.56,-0.03
19.39,496.15,15.13,-0.06
29.7,501.1,16.2,-0.02
26.43,499.6,15.98,-0.07
16.28,495.96,15.79,0.03
21.87,494.6,14.52,0.04
19.03,498.24,17.77,0.06
15.08,495.2,16.57,0.05
11.64,492.24,16.24,0.03
19.31,493.63,13.71,-0.07
42.54,494.53,11.62,0.13
28.86,494.74,13.25,0.16
17.63,495.87,14.86,0.03
10.19,494.5,16.01,-0.04
12.33,493.85,15.57,0.04
10.85,493.53,15.62,-0.1
11.66,491.48,14.83,0.03
21.8,493.49,14.41,0.11
14.51,494.47,16.11,0.08
13.11,497.13,16.64,0.11
9.8,497.68,16.12,0.07
10.72,496.64,16.04,-0.07
18.64,497.28,15.69,-0.0
22.91,495.59,14.14,-0.04
21.34,493.75,13.64,0.08
8.77,496.56,16.37,-0.01
5.2,491.88,16.47,-0.15
10.81,493.72,16.51,0.09
13.6,494.95,15.0,-0.02
15.3,493.45,13.0,-0.01
13.27,495.46,14.34,0.08
15.51,493.29,15.77,0.0
18.94,495.59,14.9,0.01
13.26,495.75,16.32,-0.02
15.64,497.06,16.99,-0.04
14.04,496.75,16.21,-0.25
9.12,494.64,18.04,-0.16
12.14,496.04,17.6,-0.05
21.99,496.03,14.66,-0.02
14.72,494.21,15.65,0.08
11.0,496.56,16.38,0.01
6.98,495.97,16.81,-0.08
7.51,493.67,15.91,-0.12
18.54,496.13,15.41,0.07
20.51,495.09,14.23,0.08
13.04,491.8,14.18,-0.02
12.01,494.21,15.46,0.03
9.49,496.93,17.7,-0.16
15.26,502.88,17.62,0.01
9.7,496.28,17.09,0.02
12.82,497.16,16.74,-0.05
22.71,497.61,14.91,0.04
43.13,502.04,16.17,0.04
30.62,499.52,16.89,-0.06
25.99,495.3,14.82,0.08
24.62,498.14,15.85,0.01
23.53,501.89,17.3,0.09
17.85,496.1,16.89,-0.17
17.86,492.99,15.99,0.01
8.38,491.92,14.3,-0.03
6.21,492.82,13.81,-0.09
13.82,495.13,15.2,-0.03
13.38,495.45,14.84,-0.07
6.69,493.0,16.42,-0.05
6.0,491.05,17.52,0.04
13.95,494.62,18.31,0.06
13.62,496.9,18.4,0.11
10.83,492.8,15.8,-0.07
19.41,496.09,15.43,0.08
15.07,495.66,15.68,-0.0
10.05,492.71,15.64,-0.08
8.96,492.61,15.56,-0.1
11.98,494.93,15.59,-0.11
13.13,494.01,14.02,0.01
11.34,494.09,15.04,-0.08
9.66,496.44,16.43,-0.03
8.49,492.34,15.81,-0.03
16.2,494.55,15.55,-0.14
20.77,496.36,14.77,-0.04
26.69,494.94,12.84,0.02
11.98,495.35,16.55,-0.07
9.61,493.63,16.17,-0.1
11.8,493.76,15.46,-0.01
16.11,496.61,16.24,0.03
16.79,498.12,16.68,0.04
16.39,495.48,15.91,-0.11
10.83,491.38,13.99,-0.18
10.16,493.06,15.75,0.05
18.67,495.88,14.85,0.07
12.15,494.07,15.69,-0.07
10.53,497.64,17.21,-0.01
14.39,497.79,16.97,-0.02
13.5,495.29,15.08,0.01
9.71,497.44,18.78,-0.04
15.86,496.28,16.16,0.03
17.49,493.36,14.11,0.01
10.53,492.13,14.71,0.01
10.5,493.83,15.98,-0.06
12.22,495.26,17.09,0.07
13.98,497.6,17.38,-0.09
11.19,498.87,19.06,0.01
12.72,493.44,15.84,0.1
13.48,493.94,16.08,0.01
19.99,492.34,14.65,-0.02
23.88,493.87,14.39,0.03
22.51,496.31,14.31,-0.02
15.75,495.82,15.67,-0.06
14.91,493.69,13.8,-0.04
23.04,496.43,14.46,0.06
11.36,497.23,15.58,-0.13
2.46,492.78,19.94,-0.13
5.17,494.31,17.69,-0.2
7.68,496.28,19.06,-0.1
13.65,495.73,17.15,-0.01
18.06,495.51,15.27,0.01
25.25,495.97,14.93,0.01
35.19,494.1,13.29,0.01
20.04,496.46,16.68,0.02
21.92,498.18,17.34,0.01
17.73,496.14,15.31,-0.04
8.17,491.36,16.26,-0.07
6.14,490.87,16.07,0.06
9.32,495.58,18.3,-0.09
15.22,500.86,19.36,-0.07
18.68,496.89,15.45,0.04
12.35,496.75,15.45,-0.18
12.01,494.35,15.43,0.02
15.67,496.27,15.78,0.16
19.0,498.48,16.04,0.01
17.24,499.31,16.1,0.04
7.84,495.79,18.12,0.01
8.3,493.63,17.7,0.06
15.01,494.37,15.51,-0.01
14.05,496.08,16.2,-0.03
14.52,497.41,16.4,-0.01
16.74,492.88,13.85,0.12
8.51,490.79,14.22,0.07
6.34,491.82,15.13,-0.05
10.76,495.11,15.67,0.0
8.97,495.49,17.32,-0.1
19.35,497.96,17.09,0.02
21.26,498.01,15.67,0.02
17.99,496.79,16.16,-0.04
15.36,501.31,21.26,-0.09
20.28,499.99,16.87,-0.05
35.69,497.35,14.98,0.11
17.0,494.68,15.13,-0.15
11.56,493.32,15.37,-0.04
12.16,492.6,15.41,-0.05
10.05,491.86,14.94,-0.03
6.59,491.82,17.79,-0.07
11.46,495.54,17.51,0.03
18.47,493.84,15.47,0.08
22.56,493.22,15.07,0.04
20.67,492.32,13.77,0.13
12.68,492.64,14.9,0.03
12.07,497.26,16.69,-0.06
12.91,496.69,16.26,-0.15
16.51,498.97,15.48,-0.04
8.16,499.03,16.75,-0.01
8.16,498.92,17.36,-0.14
8.23,499.64,17.63,-0.05
10.89,498.81,18.49,-0.04
14.12,499.71,19.5,-0.05
19.74,495.89,16.48,0.12
26.17,493.63,14.01,0.08
21.48,492.95,13.99,0.04
25.33,498.04,17.04,0.01
25.83,502.01,18.39,0.06
9.46,498.45,17.49,-0.12
5.38,492.38,14.35,0.05
6.09,495.85,18.65,-0.05
13.14,498.76,17.19,0.01
15.69,497.55,16.41,-0.04
17.01,496.65,16.38,0.01
12.99,498.86,16.77,-0.01
14.33,495.75,14.73,0.04
17.51,495.24,14.36,-0.15
12.52,497.48,16.62,-0.04
9.15,497.9,19.32,-0.03
9.39,497.04,18.34,0.0
9.52,494.58,18.09,-0.14
10.93,495.48,17.16,-0.05
11.83,492.68,14.42,0.09
7.58,492.6,15.22,-0.04
12.9,493.52,15.05,-0.0
18.75,495.0,13.81,0.03
11.99,495.57,14.58,0.07
12.03,497.32,16.14,-0.01
7.45,495.96,16.95,-0.14
17.04,495.6,15.73,0.01
22.78,496.8,14.72,0.03
14.5,495.42,16.48,-0.01
16.57,499.61,19.33,0.04
